BGE,BP,BR,rgrowth,renzyme,rdreserve,isolate,class,phylum,response,genomesize,monomer,ontology
0.5916597697529987,7.888702296167363e-9,2.9617529526476572e-9,0.059212898474765,0.0004569915239510946,0.08145636965329041,Acidobacteriaceae bacterium URHE0068,Acidobacteria,Acidobacteria,positive,6679185,2-aminoisobutyric acid ,Amino acids
0.38074355617487526,3.1925556588856956e-8,1.684607277137154e-8,0.12731803393699956,0.0004186356669693529,0.13690219749530638,Bacillus sp. URHB0009,Bacilli,Firmicutes,negative,5377210,2-aminoisobutyric acid ,Amino acids
0.4753498132370389,1.560387629267357e-8,7.346933442729263e-9,0.09750986336477532,0.0002251168934570036,0.10052357383148079,Blastococcus sp. URHD0036,Actinobacteria,Actinobacteria,undefined,5177578,2-aminoisobutyric acid ,Amino acids
0.5903251891901207,7.44749481249932e-9,3.2132367337718945e-9,0.05781378212036745,8.465474383777705e-5,0.07150570898852375,Bradyrhizobium sp. URHA0002,Alphaproteobacteria,Proteobacteria,positive,6972827,2-aminoisobutyric acid ,Amino acids
0.590506563987971,7.873334699155097e-9,3.3513772097786893e-9,0.060674209895971803,0.00011553020723161675,0.07222945705640367,Bradyrhizobium sp. URHA0013,Alphaproteobacteria,Proteobacteria,positive,7193102,2-aminoisobutyric acid ,Amino acids
0.5940594888785853,9.416452278000283e-9,3.2405949141201974e-9,0.06853918622595223,0.0001155632376415505,0.0780303293537762,Bradyrhizobium sp. URHD0069,Alphaproteobacteria,Proteobacteria,positive,6793945,2-aminoisobutyric acid ,Amino acids
0.441952029748889,1.4026586496866561e-8,1.1270324345940035e-8,0.09428150809225684,0.00016851872930559035,0.09770394936747842,Burkholderia sp. URHA0054,Betaproteobacteria,Proteobacteria,positive,7244804,2-aminoisobutyric acid ,Amino acids
0.5855790682985675,7.415229563999112e-9,3.672018145971091e-9,0.05816536235228741,0.00042102055451947014,0.04636606097759333,Caulobacter sp. URHA0033,Alphaproteobacteria,Proteobacteria,positive,5642219,2-aminoisobutyric acid ,Amino acids
0.4672248076105908,1.2315260764244992e-8,5.7240643328044705e-9,0.07797031191732577,0.00041965037667020895,0.07600627915654246,Cellulomonas sp. URHD0024,Actinobacteria,Actinobacteria,undefined,4210445,2-aminoisobutyric acid ,Amino acids
0.523949563395735,8.884370725649854e-9,3.6837117390091602e-9,0.06313193341844876,0.0002885618798125179,0.0636974871111223,Cellulomonas sp. URHE0023,Actinobacteria,Actinobacteria,undefined,4467545,2-aminoisobutyric acid ,Amino acids
0.5214078185248066,6.174254226604999e-9,3.071999580644873e-9,0.0468470426971711,9.991144630712075e-5,0.06601616602587852,Comamonadaceae bacterium URHA0028,Betaproteobacteria,Proteobacteria,positive,4904121,2-aminoisobutyric acid ,Amino acids
0.5876005087067968,6.2263124452266e-9,2.814303956836606e-9,0.049179240431690585,0.00012111142852695853,0.06027057229518408,Dongia sp. URHE0060,Alphaproteobacteria,Proteobacteria,positive,6067264,2-aminoisobutyric acid ,Amino acids
0.4601513940482721,8.366041667337601e-9,6.205256714777214e-9,0.06123160705189806,0.00044027754582875094,0.06800952062431212,Flavobacterium sp. URHB0058,Flavobacteria,Bacteroidetes,undefined,5264264,2-aminoisobutyric acid ,Amino acids
0.4551001461895221,1.3209846982529523e-8,7.949290572008227e-9,0.08768586768733769,0.0003377410124826296,0.09230446519564581,Geodermatophilaceae bacterium URHA0031,Actinobacteria,Actinobacteria,negative,5236918,2-aminoisobutyric acid ,Amino acids
0.48601231044686627,1.105945119134578e-8,5.282544742629057e-9,0.07530093023618499,0.00019525430459910008,0.08432082107254044,Geodermatophilaceae bacterium URHB0048,Actinobacteria,Actinobacteria,negative,4705879,2-aminoisobutyric acid ,Amino acids
0.4579551193294508,1.56976395577464e-8,7.861048442806379e-9,0.0948755913218459,0.0002829779668834376,0.09163263659146734,Geodermatophilaceae bacterium URHB0062,Actinobacteria,Actinobacteria,negative,5093035,2-aminoisobutyric acid ,Amino acids
0.5149389829579416,1.9467736554468258e-8,6.305649356785801e-9,0.11331441062701984,0.00041391016352037945,0.09842218665688057,Intrasporangiaceae bacterium URHB0013,Actinobacteria,Actinobacteria,undefined,4567713,2-aminoisobutyric acid ,Amino acids
0.5272729513377233,8.544095889399241e-9,3.1833718346898035e-9,0.0632211553504195,0.00012696619943314033,0.08051972340673519,Lysobacter sp. URHA0019,Gammaproteobacteria,Proteobacteria,undefined,3223982,2-aminoisobutyric acid ,Amino acids
0.5881653862126154,7.2968330977821895e-9,2.155880264990679e-9,0.05275413039514007,0.00014416864055049212,0.04871001539715307,Marmoricola sp. URHB0036,Actinobacteria,Actinobacteria,undefined,4829548,2-aminoisobutyric acid ,Amino acids
0.5527177302247294,7.88541568958201e-9,4.493765640710104e-9,0.061661510292102165,0.00014851469205758562,0.06899708474632218,Mesorhizobium sp. URHA0056,Alphaproteobacteria,Proteobacteria,positive,6306952,2-aminoisobutyric acid ,Amino acids
0.5514542841422427,7.215054245842379e-9,3.923630752252193e-9,0.05599222457157227,0.00015621680136023488,0.064959247575367,Mesorhizobium sp. URHB0007,Alphaproteobacteria,Proteobacteria,positive,6069513,2-aminoisobutyric acid ,Amino acids
0.5869613693876206,6.864073608734492e-9,3.47496843707897e-9,0.055592615190947665,0.0001461099877985843,0.06116755441715853,Mesorhizobium sp. URHC0008,Alphaproteobacteria,Proteobacteria,positive,7106298,2-aminoisobutyric acid ,Amino acids
0.5180123937103172,2.3336374794307957e-8,7.2574316136105865e-9,0.13503856738535816,0.000416718725587909,0.10864138100868759,Microbacterium sp. URHA0036,Actinobacteria,Actinobacteria,undefined,4034872,2-aminoisobutyric acid ,Amino acids
0.4329201405373575,8.344277090266418e-9,7.887082064970484e-9,0.06275233759881986,0.0003751624684720611,0.08493892151251058,Micromonosporaceae bacterium URHE0070,Actinobacteria,Actinobacteria,negative,7372737,2-aminoisobutyric acid ,Amino acids
0.45535838575402504,6.187857525416075e-9,6.4591257056095606e-9,0.05241217891187951,8.892113635035562e-5,0.06731879014693483,Mycobacterium sp. URHB0044,Actinobacteria,Actinobacteria,positive,7485871,2-aminoisobutyric acid ,Amino acids
0.47922820004963823,8.199852439719939e-9,6.933869033265924e-9,0.06529716701282798,9.037628793617859e-5,0.07520535817168306,Mycobacterium sp. URHD0025,Actinobacteria,Actinobacteria,positive,6657122,2-aminoisobutyric acid ,Amino acids
0.397853752504289,4.311898217114805e-9,5.285441334265672e-9,0.03658745757678133,0.00010697081871398418,0.06672997788304087,Nocardioides sp. URHA0020,Actinobacteria,Actinobacteria,undefined,4684622,2-aminoisobutyric acid ,Amino acids
0.5258004865881021,8.424232292596844e-9,3.6165869748451142e-9,0.061973705554628535,0.00018949414556234084,0.07458985225648751,Nocardioides sp. URHA0032,Actinobacteria,Actinobacteria,undefined,4560838,2-aminoisobutyric acid ,Amino acids
0.3180955159711231,9.745149212653423e-9,1.7201526129563912e-8,0.07636259663915043,0.0007636259663915043,0.08813607308749816,Paenibacillus sp. URHA0014,Bacilli,Firmicutes,negative,7371174,2-aminoisobutyric acid ,Amino acids
0.512436168786781,5.414186728848391e-8,1.164252060139028e-8,0.1713810749094395,0.0002612355982005143,0.12500582654182724,Pseudomonas sp. URHB0015,Gammaproteobacteria,Proteobacteria,positive,6208105,2-aminoisobutyric acid ,Amino acids
0.5826362879130206,6.008845513962463e-9,2.9660646177392557e-9,0.049755898315682584,9.24084678762162e-5,0.06839357445672785,Rhodospirillales bacterium URHD0017,Alphaproteobacteria,Proteobacteria,positive,8179139,2-aminoisobutyric acid ,Amino acids
0.45276849203342084,7.500425458482186e-9,6.423860492011778e-9,0.0580095339021046,0.00012170676326679173,0.11187757362123757,Rhodospirillales bacterium URHD0088,Alphaproteobacteria,Proteobacteria,undefined,6646877,2-aminoisobutyric acid ,Amino acids
0.5843251037238371,5.500787269008675e-9,2.8775830479461424e-9,0.04521439046859409,0.00018991792251662055,0.055478346002511614,Solirubrobacter sp. URHD0082,Thermoleophilia,Actinobacteria,negative,6640086,2-aminoisobutyric acid ,Amino acids
0.5860270524497251,6.4006961474403215e-9,3.2982024600069457e-9,0.05176946171513922,0.00017260589070946847,0.053986154146647675,Solirubrobacterales bacterium URHD0059,Thermoleophilia,Actinobacteria,negative,6572728,2-aminoisobutyric acid ,Amino acids
0.5699646469136559,2.7246489061739935e-9,1.6718782040207383e-9,0.02469662758771292,0.0001005845149311426,0.03026518996087607,Sphingomonas sp. URHD0007,Alphaproteobacteria,Proteobacteria,positive,2934896,2-aminoisobutyric acid ,Amino acids
0.5810522570530421,4.180042420101791e-9,1.9850847044131763e-9,0.035936171365647106,7.388231129803491e-5,0.0467738908332914,Sphingomonas sp. URHD0057,Alphaproteobacteria,Proteobacteria,positive,2785891,2-aminoisobutyric acid ,Amino acids
0.4762249583414047,6.975842837421963e-8,2.5959916714670422e-8,0.3186756497401099,0.0005602495435739596,0.27507466554786325,Staphylococcus sp. URHA0057,Bacilli,Firmicutes,undefined,2549675,2-aminoisobutyric acid ,Amino acids
0.38936268931116497,8.488926870341688e-9,9.38291726371887e-9,0.06137463211351577,0.0003451273893639816,0.09165419704960052,Streptomyces sp. URHA0041,Actinobacteria,Actinobacteria,positive,8015544,2-aminoisobutyric acid ,Amino acids
0.398918048311905,4.0926215475108315e-9,5.388463773831382e-9,0.03552572460639855,7.469801765233484e-5,0.07953597677829422,Variovorax sp. URHB0020,Betaproteobacteria,Proteobacteria,positive,6632341,2-aminoisobutyric acid ,Amino acids
NaN,NaN,3.702500774039517e-10,0.010683384349468573,8.245190187573082e-5,0.014169048959895774,Acidobacteriaceae bacterium URHE0068,Acidobacteria,Acidobacteria,positive,6679185,"2,3-Dihydroxybenzoic acid",Organic acids
0.3580378581240599,4.882866559014535e-9,7.932676836098792e-9,0.043503054256748636,0.00014304281625169987,0.044982430514723934,Bacillus sp. URHB0009,Bacilli,Firmicutes,negative,5377210,"2,3-Dihydroxybenzoic acid",Organic acids
0.2559211549765914,1.623215254481739e-10,5.309173546692733e-10,0.00518621740941474,1.1973200573900401e-5,0.005067047519732878,Blastococcus sp. URHD0036,Actinobacteria,Actinobacteria,undefined,5177578,"2,3-Dihydroxybenzoic acid",Organic acids
0.6296627995055988,2.2914274336824846e-9,1.322630200827124e-9,0.02273580663319086,3.329126405310796e-5,0.02733035444500128,Bradyrhizobium sp. URHA0002,Alphaproteobacteria,Proteobacteria,positive,6972827,"2,3-Dihydroxybenzoic acid",Organic acids
0.6229929808717564,2.010547453612779e-9,1.1973741801947557e-9,0.020320177226887285,3.869179821262583e-5,0.023492284595311365,Bradyrhizobium sp. URHA0013,Alphaproteobacteria,Proteobacteria,positive,7193102,"2,3-Dihydroxybenzoic acid",Organic acids
0.6289540834910797,2.232294873734452e-9,1.2852414714653008e-9,0.02214303177840293,3.733514481884893e-5,0.024316489029946986,Bradyrhizobium sp. URHD0069,Alphaproteobacteria,Proteobacteria,positive,6793945,"2,3-Dihydroxybenzoic acid",Organic acids
0.4409593192214213,2.2889402722819633e-9,2.8786881014791817e-9,0.02335197882398354,4.173931747398504e-5,0.023364071663161977,Burkholderia sp. URHA0054,Betaproteobacteria,Proteobacteria,positive,7244804,"2,3-Dihydroxybenzoic acid",Organic acids
0.6390502130907341,3.382139939979601e-9,1.809315485012492e-9,0.03175817496332517,0.00022987640569662322,0.024919803853523194,Caulobacter sp. URHA0033,Alphaproteobacteria,Proteobacteria,positive,5642219,"2,3-Dihydroxybenzoic acid",Organic acids
NaN,NaN,7.667812871958518e-10,0.009419254211656935,5.069613652521423e-5,0.008844845150615292,Cellulomonas sp. URHD0024,Actinobacteria,Actinobacteria,undefined,4210445,"2,3-Dihydroxybenzoic acid",Organic acids
NaN,NaN,3.259522431982086e-10,0.005487987840414119,2.508435908530821e-5,0.005327371180145987,Cellulomonas sp. URHE0023,Actinobacteria,Actinobacteria,undefined,4467545,"2,3-Dihydroxybenzoic acid",Organic acids
0.5733031694132124,4.2340571411674036e-9,2.535453856217604e-9,0.03630494935579916,7.742815318551052e-5,0.05064295648580192,Comamonadaceae bacterium URHA0028,Betaproteobacteria,Proteobacteria,positive,4904121,"2,3-Dihydroxybenzoic acid",Organic acids
